keyword,avg_interest,peak_interest,peak_date,last_4w_avg,prev_4w_avg,abs_momentum,pct_momentum
NIL,48.15,100.0,2024-12-29,32.0,38.0,-6.0,-15.79
athlete branding,2.21,100.0,2025-06-08,4.25,0.0,4.25,
athlete website,14.6,100.0,2025-07-27,38.5,39.0,-0.5,-1.28
